v(m/s),w(m),d(m),tr(s),kappa,theta(rad),Risk_R
6.237,0.623,1.301,1.116,0.353,0.143835,0.7378
8.456,0.688,1.347,0.819,0.331,0.086786,0.7989
5.564,0.613,0.85,1.312,0.987,0.415289,0.9838
8.83,0.623,1.761,0.536,0.966,0.520886,0.6367
7.694,0.844,1.37,0.611,0.606,0.310788,0.8171
2.585,0.737,1.781,0.528,0.855,0.475375,0.436
9.55,0.838,1.321,1.473,0.83,0.084651,0.7666
5.815,0.765,1.047,1.069,0.767,0.085189,0.8232
6.521,0.781,1.299,0.315,0.306,0.18694,0.8309
9.41,0.619,1.434,0.566,0.525,0.444034,0.7787
7.831,0.579,1.229,0.335,0.637,0.34685,0.7647
2.948,0.637,1.198,1.403,0.995,0.023516,0.4867
8.088,0.662,1.192,1.205,0.943,0.497905,0.8671
6.617,0.657,1.588,0.601,0.695,0.187751,0.5654
7.253,0.622,0.992,1.402,0.371,0.264919,0.9022
3.767,0.562,0.836,0.51,0.907,0.147906,0.7962
9.604,0.724,1.237,0.996,0.662,0.397294,0.8682
4.26,0.656,1.694,1.436,0.925,0.219622,0.4529
8.243,0.693,1.298,0.546,0.714,0.097461,0.7023
4.653,0.807,1.007,0.385,0.348,0.492594,1.0
6.055,0.673,1.611,1.303,0.533,0.363178,0.6445
8.169,0.746,0.952,1.351,0.677,0.147902,0.9217
5.402,0.561,0.928,1.219,0.3,0.218113,0.8884
6.18,0.566,1.773,0.571,0.513,0.159144,0.5129
3.843,0.55,1.529,1.46,0.457,0.347171,0.5945
7.935,0.805,1.223,0.664,0.528,0.373128,0.9003
8.534,0.604,1.171,1.382,0.865,0.515671,0.8628
8.034,0.668,1.391,1.093,0.355,0.285098,0.806
7.675,0.6,1.581,1.001,0.967,0.022212,0.496
4.123,0.73,1.097,1.157,0.831,0.053677,0.7022
6.111,0.703,1.169,1.42,0.879,0.365058,0.8143
7.715,0.689,1.721,1.134,0.81,0.45118,0.634
4.193,0.792,0.995,0.714,0.535,0.512355,1.0
8.852,0.76,1.527,0.974,0.963,0.25984,0.6712
5.044,0.599,1.586,1.181,0.569,0.013191,0.4866
8.712,0.553,1.504,1.464,0.606,0.123032,0.609
7.639,0.795,1.346,1.46,0.336,0.26431,0.8643
7.748,0.809,0.979,1.26,0.687,0.207635,0.957
3.054,0.81,0.957,0.672,0.503,0.456271,1.0
7.382,0.789,1.05,1.05,0.7,0.436069,0.9934
9.249,0.554,1.474,0.362,0.684,0.150604,0.6219
4.454,0.656,1.421,0.701,0.813,0.21181,0.5485
2.547,0.785,1.086,0.819,0.78,0.174074,0.773
2.453,0.662,1.744,1.07,0.77,0.331062,0.4473
3.592,0.676,1.551,0.422,0.494,0.14468,0.5193
5.456,0.844,0.868,0.922,0.426,0.508245,1.0
2.906,0.671,1.538,1.145,0.596,0.18144,0.5018
5.181,0.629,1.005,0.88,0.488,0.150515,0.8187
7.254,0.841,1.404,0.392,0.353,0.498164,0.9076
4.378,0.578,1.399,1.048,0.754,0.140011,0.5117
2.121,0.84,1.051,1.111,0.795,0.319399,0.9489
4.503,0.631,1.398,1.339,0.963,0.055452,0.4765
3.239,0.833,1.537,1.36,0.442,0.307659,0.6882
7.609,0.754,1.208,0.318,0.708,0.132524,0.7743
5.602,0.837,1.199,1.308,0.432,0.352099,0.9138
9.816,0.581,0.808,0.82,0.365,0.391853,0.9925
9.316,0.68,1.059,0.821,0.806,0.004741,0.7952
6.716,0.734,1.438,0.59,0.8,0.047852,0.5928
3.594,0.813,1.539,0.316,0.474,0.112263,0.5542
4.166,0.624,0.863,0.851,0.813,0.317684,0.9279
7.383,0.574,1.751,1.306,0.864,0.430913,0.5678
9.462,0.713,1.0,1.04,0.82,0.386373,0.959
6.172,0.571,1.171,1.405,0.709,0.28187,0.72
4.151,0.661,1.695,1.1,0.851,0.237895,0.4631
7.042,0.625,1.505,0.813,0.61,0.339984,0.6594
9.49,0.569,1.625,0.651,0.611,0.011474,0.5645
4.408,0.701,0.856,0.889,0.949,0.055184,0.8734
8.116,0.673,1.455,0.612,0.412,0.084018,0.694
2.564,0.606,1.464,1.358,0.87,0.358735,0.4951
2.883,0.637,1.11,0.6,0.661,0.280415,0.7201
4.855,0.656,1.629,1.247,0.515,0.478459,0.6544
9.623,0.648,1.154,0.907,0.959,0.45884,0.8761
2.821,0.668,1.353,0.904,0.436,0.449675,0.7482
7.416,0.801,1.659,1.198,0.607,0.319682,0.6731
3.283,0.752,0.979,1.133,0.461,0.06155,0.8612
3.322,0.551,1.519,1.179,0.66,0.084489,0.4422
2.668,0.556,0.966,1.369,0.469,0.185496,0.7717
2.843,0.617,1.319,1.029,0.472,0.030228,0.5644
5.128,0.62,1.02,1.452,0.731,0.291581,0.8169
5.326,0.679,1.341,1.136,0.792,0.089899,0.5842
6.001,0.674,1.671,1.058,0.673,0.06042,0.4976
6.845,0.585,1.137,0.471,0.784,0.107993,0.6888
5.135,0.819,1.004,0.909,0.593,0.00949,0.8744
8.342,0.571,1.274,0.973,0.74,0.360567,0.742
4.026,0.553,1.523,0.943,0.885,0.430078,0.5308
8.747,0.696,1.134,1.25,0.616,0.09605,0.8011
8.84,0.815,1.266,0.391,0.571,0.420731,0.907
9.214,0.611,0.867,1.353,0.573,0.283665,0.9466
9.745,0.57,1.448,0.389,0.563,0.420876,0.7459
5.468,0.849,1.359,0.685,0.454,0.183532,0.7748
4.98,0.571,1.17,0.857,0.806,0.343863,0.7015
7.67,0.553,1.018,1.094,0.639,0.002782,0.7425
8.436,0.782,1.348,0.38,0.837,0.305632,0.7806
8.256,0.776,1.603,0.922,0.398,0.351417,0.7718
6.964,0.773,0.97,0.534,0.923,0.392687,1.0
9.266,0.778,1.397,1.085,0.922,0.303063,0.7625
7.059,0.597,1.274,1.16,0.49,0.1059,0.6949
4.511,0.622,1.015,0.81,0.935,0.265496,0.7727
3.503,0.573,1.496,0.759,0.875,0.345319,0.499
8.37,0.632,1.492,0.617,0.957,0.333205,0.6476
4.596,0.631,0.991,1.134,0.453,0.3117,0.8821
4.117,0.749,1.615,1.234,0.833,0.098291,0.464
2.707,0.76,1.168,0.819,0.322,0.135914,0.8154
2.269,0.814,1.043,0.969,0.327,0.34916,0.9757
4.584,0.819,1.688,0.69,0.931,0.521587,0.6377
8.603,0.803,1.049,0.992,0.347,0.049699,0.925
9.991,0.648,1.548,1.268,0.901,0.522357,0.7465
3.932,0.562,1.211,0.456,0.316,0.188719,0.7407
8.27,0.72,1.113,1.085,0.462,0.00753,0.8215
8.115,0.737,1.562,0.347,0.886,0.324383,0.6604
6.507,0.737,1.664,1.004,0.707,0.518718,0.6908
8.054,0.683,1.507,0.767,0.46,0.312511,0.7264
9.425,0.829,1.142,0.933,0.448,0.521311,1.0
9.849,0.745,1.604,1.158,0.715,0.027933,0.6186
5.638,0.752,1.478,0.748,0.959,0.087628,0.5405
6.003,0.757,1.497,1.078,0.493,0.08179,0.6395
7.088,0.73,0.979,1.146,0.619,0.349639,0.9617
8.699,0.601,0.819,1.235,0.727,0.36633,0.9812
8.705,0.791,1.761,0.943,0.642,0.210428,0.6198
3.23,0.722,1.077,1.406,0.708,0.31041,0.829
4.839,0.566,0.832,0.808,0.359,0.317744,0.9447
9.048,0.815,1.459,0.553,0.904,0.463957,0.8189
3.573,0.771,1.087,1.263,0.998,0.015722,0.683
9.179,0.737,1.773,0.858,0.893,0.032669,0.5284
4.682,0.57,1.775,1.28,0.897,0.491117,0.514
2.681,0.666,0.871,0.553,0.461,0.245624,0.9348
4.148,0.58,0.967,0.477,0.981,0.397565,0.8365
9.742,0.682,1.078,1.258,0.528,0.156757,0.8801
3.86,0.589,1.056,0.726,0.772,0.032759,0.6261
3.684,0.793,0.947,0.711,0.905,0.081119,0.8776
2.662,0.695,1.102,0.976,0.863,0.071811,0.6176
6.646,0.702,0.944,1.049,0.492,0.255429,0.9364
2.658,0.688,1.106,1.287,0.34,0.219182,0.8277
5.667,0.768,1.374,1.101,0.844,0.451448,0.7744
4.511,0.711,1.64,1.487,0.923,0.1945,0.4757
3.561,0.697,1.542,0.891,0.638,0.438896,0.6195
4.891,0.808,1.207,0.694,0.618,0.399216,0.8869
3.008,0.609,1.751,0.511,0.697,0.303328,0.4129
5.917,0.743,1.03,0.963,0.561,0.346448,0.9384
3.13,0.721,0.985,0.634,0.453,0.095734,0.8475
8.606,0.636,1.727,1.464,0.7,0.074875,0.5355
4.996,0.789,1.167,0.404,0.69,0.442504,0.9181
8.367,0.603,1.473,0.565,0.453,0.457663,0.7634
3.997,0.629,0.801,1.345,0.855,0.328469,0.9883
8.002,0.596,1.258,0.721,0.366,0.254537,0.7972
9.366,0.562,1.091,0.549,0.467,0.475655,0.9005
5.745,0.69,1.561,0.485,0.641,0.22514,0.585
6.775,0.85,1.569,0.777,0.879,0.089383,0.5891
2.244,0.611,1.14,0.913,0.731,0.476792,0.7613
6.079,0.7,0.85,0.342,0.686,0.22943,0.9698
8.713,0.598,0.825,0.839,0.466,0.025978,0.9021
7.797,0.583,1.408,0.637,0.421,0.198837,0.6993
8.412,0.668,1.551,0.451,0.841,0.124058,0.5861
7.419,0.72,1.729,0.765,0.346,0.01003,0.6227
8.615,0.707,1.575,0.581,0.542,0.015762,0.6191
9.692,0.75,1.733,0.619,0.728,0.355262,0.6693
4.54,0.804,1.747,1.362,0.817,0.14528,0.472
4.253,0.839,0.81,1.159,0.794,0.326039,1.0
9.921,0.644,1.14,0.395,0.61,0.136685,0.8023
4.747,0.8,1.735,0.523,0.561,0.48623,0.6601
2.494,0.578,0.963,1.014,0.405,0.506884,0.9408
5.574,0.7,1.047,0.865,0.763,0.393315,0.9073
8.031,0.723,1.704,1.281,0.83,0.029115,0.5216
2.055,0.614,1.464,0.793,0.582,0.463169,0.5807
9.165,0.823,1.114,1.129,0.49,0.099803,0.8983
3.477,0.653,1.23,1.297,0.384,0.384806,0.8035
6.252,0.636,1.293,0.66,0.717,0.22716,0.6738
3.315,0.585,1.347,1.383,0.541,0.383798,0.6498
7.269,0.829,1.621,0.98,0.76,0.470394,0.738
5.196,0.648,0.811,1.292,0.861,0.054692,0.8833
6.615,0.689,0.919,1.477,0.45,0.035204,0.8877
6.759,0.772,0.832,1.09,0.673,0.054069,0.9745
3.38,0.72,1.096,1.426,0.873,0.514995,0.9422
4.077,0.841,1.231,0.717,0.335,0.027628,0.8079
7.536,0.687,1.027,1.037,0.477,0.302447,0.9107
4.874,0.797,1.621,0.873,0.546,0.189836,0.5947
8.446,0.648,1.009,0.402,0.627,0.252444,0.8779
8.727,0.616,1.181,1.27,0.877,0.201382,0.7436
5.673,0.641,1.733,0.442,0.954,0.358072,0.5102
6.253,0.56,1.276,0.789,0.413,0.343695,0.7587
9.769,0.719,1.515,0.382,0.592,0.060925,0.6672
6.902,0.832,1.462,0.392,0.548,0.288327,0.7569
5.226,0.8,1.615,1.034,0.561,0.133694,0.5846
2.847,0.656,1.213,1.111,0.761,0.036709,0.5373
5.162,0.605,0.957,1.293,0.329,0.219484,0.8861
3.346,0.814,1.357,0.578,0.652,0.383005,0.749
9.665,0.616,1.686,1.421,0.941,0.332702,0.6102
7.039,0.671,1.552,0.938,0.774,0.22434,0.5914
7.852,0.797,0.946,1.3,0.678,0.442266,1.0
5.45,0.664,1.715,0.601,0.891,0.253433,0.4918
6.113,0.643,1.373,0.69,0.327,0.142418,0.7281
2.051,0.844,1.766,0.774,0.81,0.181064,0.3819
7.369,0.792,1.747,0.78,0.848,0.13924,0.5402
9.923,0.558,1.404,1.091,0.782,0.063035,0.6249
9.508,0.604,1.423,0.567,0.515,0.286125,0.7333
5.338,0.598,0.971,0.802,0.83,0.470173,0.9187
2.673,0.668,0.9,0.32,0.763,0.315442,0.918
3.304,0.62,0.824,1.302,0.982,0.070926,0.8079
3.852,0.811,1.726,0.804,0.335,0.020626,0.5837
6.592,0.668,0.829,1.0,0.308,0.412267,1.0
4.451,0.562,1.388,0.777,0.982,0.284942,0.5257
4.202,0.763,1.071,1.385,0.562,0.287911,0.887
2.405,0.678,1.632,1.267,0.457,0.118375,0.4918
8.538,0.829,0.895,0.84,0.536,0.455891,1.0
2.668,0.613,1.552,0.362,0.645,0.231487,0.3857
4.675,0.668,1.33,0.494,0.7,0.421723,0.7175
8.081,0.596,0.949,0.622,0.553,0.213867,0.8728
7.438,0.567,0.835,0.77,0.788,0.101283,0.8583
7.132,0.628,1.686,1.375,0.508,0.120424,0.5635
5.29,0.622,1.472,1.291,0.771,0.431629,0.6335
5.176,0.597,1.538,0.733,0.77,0.141709,0.4958
2.65,0.848,0.956,1.486,0.984,0.415642,1.0
7.275,0.723,1.666,0.647,0.627,0.324312,0.6357
5.29,0.678,1.13,0.977,0.895,0.10552,0.6884
9.475,0.757,1.623,0.967,0.846,0.008483,0.5859
8.547,0.562,1.69,1.49,0.506,0.110123,0.6006
8.123,0.626,1.666,0.423,0.388,0.512683,0.7445
7.391,0.804,1.124,1.112,0.716,0.315809,0.9096
7.46,0.723,1.229,0.631,0.838,0.118476,0.724
7.539,0.62,1.425,1.196,0.453,0.031386,0.6479
3.048,0.732,1.649,0.354,0.814,0.178714,0.3608
5.828,0.829,1.132,0.858,0.31,0.042725,0.8765
4.069,0.558,1.431,0.812,0.684,0.091445,0.4852
4.367,0.749,1.765,0.361,0.923,0.302054,0.4456
6.511,0.7,0.869,0.408,0.721,0.178525,0.9403
9.338,0.672,0.943,1.158,0.505,0.275136,0.9458
7.583,0.82,1.592,1.112,0.776,0.495285,0.7632
4.367,0.55,1.072,0.561,0.763,0.331811,0.732
6.748,0.555,1.529,0.688,0.766,0.291424,0.5747
4.742,0.59,0.894,1.298,0.943,0.340228,0.8844
2.827,0.671,1.529,1.236,0.383,1.6e-05,0.5429
7.697,0.657,1.054,0.315,0.678,0.445661,0.9209
9.661,0.72,1.314,0.402,0.684,0.198957,0.7662
6.857,0.667,1.04,0.414,0.52,0.050603,0.8088
3.415,0.846,1.244,0.938,0.912,0.521279,0.9442
6.662,0.794,1.127,0.667,0.582,0.352124,0.92
7.458,0.645,0.933,1.059,0.39,0.302898,0.9404
7.547,0.76,1.553,1.347,0.65,0.382358,0.7161
6.953,0.606,0.826,0.641,0.61,0.323116,0.964
8.8,0.609,0.926,1.456,0.376,0.250537,0.9428
6.685,0.712,0.886,0.368,0.374,0.306613,0.9894
6.355,0.62,1.438,1.284,0.329,0.26082,0.7339
7.514,0.626,1.108,1.036,0.929,0.424075,0.8487
6.665,0.769,1.165,1.069,0.626,0.09945,0.7904
7.614,0.717,1.159,1.394,0.315,0.165338,0.8823
2.455,0.78,1.502,0.698,0.773,0.207312,0.4888
8.05,0.686,1.212,1.422,0.476,0.063066,0.7747
6.676,0.841,1.178,0.374,0.538,0.264905,0.8896
3.295,0.747,1.798,0.842,0.548,0.209808,0.4818
2.921,0.815,1.215,0.765,0.762,0.231448,0.7338
7.186,0.568,1.614,1.429,0.754,0.49981,0.6393
3.211,0.693,1.402,0.998,0.581,0.177021,0.5773
3.015,0.668,0.963,1.181,0.446,0.030665,0.8069
6.419,0.729,1.672,0.992,0.542,0.420456,0.6717
6.322,0.574,1.366,1.39,0.577,0.155156,0.6228
3.148,0.595,1.233,1.015,0.356,0.491957,0.8231
8.041,0.726,1.628,0.396,0.634,0.329916,0.6669
8.629,0.785,1.077,1.429,0.387,0.458219,0.9933
9.768,0.603,1.522,0.348,0.584,0.270325,0.6836
6.645,0.831,1.472,0.878,0.867,0.497698,0.8038
2.177,0.845,0.886,1.277,0.496,0.069209,0.9883
5.519,0.743,1.181,0.365,0.72,0.472497,0.897
5.066,0.615,1.243,0.358,0.874,0.432671,0.7212
6.704,0.656,1.6,0.966,0.878,0.330631,0.5831
8.275,0.73,1.214,1.45,0.679,0.316824,0.8352
3.764,0.738,1.372,0.522,0.342,0.316442,0.7735
8.11,0.707,1.027,1.1,0.356,0.231344,0.9258
3.307,0.605,1.002,0.764,0.336,0.208284,0.8434
6.094,0.695,1.183,1.307,0.402,0.264782,0.8319
2.496,0.571,1.374,0.979,0.915,0.292102,0.4779
9.678,0.565,0.898,0.353,0.43,0.283408,0.9265
7.165,0.564,1.746,1.311,0.508,0.040415,0.5124
3.359,0.588,0.923,0.922,0.472,0.187522,0.8315
9.916,0.755,1.749,0.471,0.567,0.290457,0.6747
2.614,0.551,1.47,1.07,0.588,0.256377,0.5018
5.324,0.557,1.135,0.512,0.369,0.500938,0.8706
6.795,0.769,1.115,0.772,0.466,0.050771,0.8319
3.432,0.789,1.478,0.956,0.633,0.482985,0.728
2.582,0.634,1.15,1.239,0.995,0.126015,0.5343
8.994,0.799,1.025,0.779,0.587,0.512195,1.0
3.447,0.79,1.134,1.177,0.594,0.302828,0.8565
8.661,0.791,1.666,0.372,0.784,0.073297,0.5876
5.327,0.715,1.203,0.924,0.998,0.0708,0.6406
7.404,0.669,0.933,0.49,0.964,0.460558,1.0
9.256,0.847,1.008,0.727,0.768,0.253318,0.9797
5.347,0.657,1.394,0.991,0.413,0.247002,0.7052
6.428,0.721,1.01,1.191,0.318,0.18579,0.9163
8.242,0.719,1.061,1.134,0.697,0.416912,0.9422
7.88,0.733,1.288,0.46,0.483,0.21944,0.7939
6.794,0.704,1.088,0.308,0.647,0.149553,0.8113
7.877,0.557,1.385,1.43,0.422,0.246955,0.7313
2.731,0.738,1.351,0.789,0.665,0.469445,0.7341
3.57,0.557,1.662,0.993,0.923,0.31256,0.4517
8.481,0.679,1.55,1.396,0.7,0.094659,0.6036
4.15,0.61,1.047,0.668,0.689,0.307872,0.7856
5.412,0.735,0.882,0.405,0.42,0.271265,0.9904
3.712,0.635,1.2,1.274,0.31,0.340014,0.8238
7.351,0.79,1.733,0.324,0.408,0.463998,0.7425
5.668,0.719,1.463,1.115,0.952,0.522001,0.7243
7.761,0.636,1.68,0.359,0.462,0.46987,0.6997
4.05,0.616,0.938,1.331,0.65,0.353373,0.8922
3.913,0.777,1.56,0.675,0.587,0.109794,0.5421
9.812,0.744,1.735,0.664,0.847,0.401003,0.6721
7.533,0.84,1.194,0.457,0.77,0.381866,0.9192
6.6,0.612,1.304,0.675,0.599,0.337836,0.7273
7.962,0.62,1.205,0.623,0.439,0.410181,0.8488
9.274,0.661,1.551,1.376,0.892,0.095721,0.5912
9.65,0.663,1.139,0.375,0.64,0.057079,0.7835
3.988,0.645,1.609,1.351,0.512,0.449613,0.6246
8.858,0.779,0.947,1.128,0.962,0.357377,1.0
4.653,0.7,1.446,0.913,0.384,0.163396,0.675
8.419,0.808,0.937,1.443,0.53,0.346787,1.0
8.015,0.794,1.746,0.676,0.901,0.068951,0.5319
7.64,0.773,1.478,0.603,0.911,0.088414,0.6152
2.429,0.765,1.275,1.319,0.568,0.08811,0.6289
8.692,0.715,0.989,1.164,0.658,0.316418,0.9415
5.687,0.799,1.63,1.151,0.374,0.439223,0.7616
7.368,0.759,1.163,1.355,0.808,0.058952,0.7628
5.262,0.816,0.847,1.454,0.775,0.330588,1.0
4.164,0.625,1.742,0.658,0.843,0.205838,0.4392
3.114,0.553,1.344,1.471,0.558,0.187025,0.5495
4.753,0.706,1.241,1.356,0.654,0.265861,0.7289
3.107,0.845,1.05,0.388,0.764,0.311733,0.9563
5.321,0.677,1.585,0.535,0.874,0.339683,0.5592
5.352,0.687,1.057,1.203,0.659,0.167999,0.8009
6.768,0.849,1.235,1.405,0.542,0.028658,0.7912
3.634,0.676,1.02,0.3,0.941,0.441854,0.9028
7.938,0.6,0.92,0.381,0.807,0.486323,0.9728
5.444,0.586,1.312,0.719,0.562,0.325328,0.69
7.75,0.583,0.836,1.493,0.463,0.028186,0.885
3.519,0.562,1.192,1.263,0.539,0.232574,0.659
7.405,0.703,1.661,1.339,0.307,0.407384,0.7898
5.686,0.847,1.283,1.484,0.828,0.130169,0.7283
6.307,0.848,1.658,0.417,0.794,0.180945,0.5794
2.056,0.671,1.035,1.283,0.536,0.43329,0.9006
2.005,0.642,1.041,0.58,0.348,0.097978,0.7802
6.444,0.637,1.217,0.752,0.913,0.474013,0.8029
5.944,0.649,0.907,1.444,0.342,0.155849,0.9144
4.385,0.646,0.964,1.24,0.386,0.332436,0.9208
2.991,0.571,1.709,0.528,0.875,0.285168,0.3973
2.623,0.837,1.047,1.332,0.418,0.447123,1.0
2.106,0.704,1.569,1.422,0.936,0.429155,0.497
9.106,0.61,1.084,0.647,0.564,0.205942,0.8255
6.356,0.598,1.491,0.501,0.517,0.263551,0.636
8.372,0.772,1.446,0.487,0.683,0.045787,0.6655
5.019,0.674,0.84,0.629,0.969,0.499321,1.0
4.819,0.563,0.979,0.771,0.963,0.073932,0.6764
8.108,0.583,1.781,0.758,0.843,0.17938,0.5083
7.021,0.608,0.946,1.426,0.942,0.464678,0.9468
7.003,0.792,0.869,0.702,0.52,0.332823,1.0
4.848,0.595,1.396,1.277,0.567,0.069256,0.5573
3.574,0.621,1.1,1.071,0.721,0.364467,0.7675
4.9,0.797,1.004,0.863,0.861,0.094331,0.8588
2.879,0.815,1.143,1.121,0.318,0.361308,0.9342
4.529,0.567,1.41,0.589,0.571,0.042192,0.5237
3.177,0.639,0.89,1.393,0.304,0.253349,0.9353
2.986,0.642,1.726,0.494,0.976,0.107754,0.3461
7.933,0.714,1.684,0.965,0.674,0.102342,0.565
3.33,0.825,1.128,0.746,0.832,0.177408,0.7869
9.616,0.771,1.397,1.357,0.335,0.134598,0.876
5.72,0.618,1.544,1.403,0.597,0.17914,0.5619
9.692,0.683,1.289,0.722,0.937,0.297904,0.7713
8.097,0.794,1.142,0.82,0.894,0.1902,0.8429
8.351,0.832,1.423,1.19,0.864,0.442462,0.8273
5.16,0.565,1.202,1.109,0.615,0.392156,0.7409
4.856,0.74,0.986,1.199,0.682,0.106848,0.85
4.335,0.775,1.283,0.559,0.977,0.374439,0.7442
9.657,0.678,1.275,1.378,0.668,0.37033,0.8259
4.017,0.684,0.923,0.547,0.301,0.020559,0.8895
9.818,0.623,1.463,1.307,0.685,0.080186,0.6473
7.825,0.73,1.531,1.224,0.983,0.300317,0.6449
4.733,0.745,0.868,1.377,0.384,0.171658,0.9738
8.526,0.729,1.194,0.868,0.898,0.178026,0.7812
8.957,0.576,1.577,1.317,0.427,0.225329,0.7314
3.324,0.762,1.335,1.062,0.438,0.11087,0.6815
2.332,0.647,1.36,1.33,0.767,0.227973,0.5099
9.625,0.766,1.73,0.933,0.481,0.02766,0.6708
7.809,0.586,1.103,0.939,0.695,0.314465,0.8073
3.33,0.664,1.417,1.464,0.809,0.483074,0.6401
8.098,0.728,0.992,1.1,0.736,0.315452,0.9412
5.918,0.709,1.134,0.923,0.438,0.421588,0.907
3.486,0.575,1.236,1.09,0.606,0.144908,0.5884
6.465,0.654,1.733,1.407,0.652,0.17168,0.5222
7.897,0.561,1.275,0.704,0.944,0.006285,0.5908
6.423,0.772,1.285,0.402,0.981,0.27123,0.741
6.913,0.621,1.283,0.815,0.352,0.055585,0.7328
8.7,0.622,0.995,0.906,0.838,0.032435,0.793
6.614,0.586,0.836,0.363,0.884,0.06177,0.8389
2.361,0.681,1.644,0.615,0.595,0.020903,0.3756
5.593,0.723,1.371,0.699,0.521,0.055828,0.6524
4.934,0.58,1.567,1.46,0.979,0.45295,0.5516
6.806,0.76,1.085,1.057,0.619,0.252384,0.8834
8.062,0.635,1.118,1.41,0.339,0.254278,0.8898
9.302,0.733,1.346,0.6,0.54,0.446132,0.854
6.474,0.704,0.9,0.319,0.975,0.197389,0.9207
6.826,0.574,1.483,1.419,0.703,0.066034,0.541
6.654,0.78,1.206,1.356,0.754,0.470846,0.9139
6.988,0.589,1.11,0.542,0.936,0.398145,0.8043
7.411,0.64,0.984,1.208,0.632,0.118223,0.8342
6.933,0.562,1.126,0.862,0.404,0.515564,0.8887
3.673,0.589,1.004,1.223,0.598,0.296051,0.8016
2.168,0.56,1.246,1.28,0.92,0.045399,0.4244
6.307,0.824,1.188,1.295,0.394,0.489771,0.9736
8.011,0.832,1.477,0.736,0.957,0.144286,0.6653
4.657,0.76,1.565,1.415,0.443,0.417831,0.7181
7.908,0.569,1.187,0.639,0.513,0.51467,0.8598
7.142,0.765,1.777,0.753,0.861,0.22752,0.5429
8.956,0.604,1.748,0.563,0.528,0.395941,0.6515
5.15,0.732,1.245,1.191,0.46,0.030609,0.7197
4.399,0.692,0.968,0.726,0.58,0.03005,0.811
6.666,0.815,0.952,1.017,0.765,0.219563,0.9768
7.609,0.673,1.305,0.309,0.784,0.346278,0.7523
2.307,0.66,1.779,0.805,0.651,0.476438,0.4813
7.738,0.725,1.598,1.337,0.62,0.248766,0.6464
5.088,0.84,1.497,0.4,0.904,0.251621,0.6184
2.55,0.715,1.217,1.353,0.443,0.432736,0.8362
6.462,0.566,1.772,0.915,0.504,0.245781,0.5457
8.863,0.641,0.993,0.455,0.509,0.408432,0.9423
5.773,0.618,0.966,0.699,0.958,0.179608,0.7935
9.905,0.696,0.979,1.369,0.622,0.371583,0.9643
9.87,0.565,0.897,1.165,0.497,0.0965,0.8989
2.315,0.557,1.574,0.461,0.627,0.317247,0.3987
5.427,0.558,1.584,0.313,0.833,0.467733,0.5585
5.463,0.711,1.277,0.767,0.921,0.468062,0.7929
4.687,0.735,1.727,1.454,0.656,0.237099,0.5185
4.23,0.838,0.943,0.996,0.498,0.146088,0.9719
5.24,0.85,0.855,0.994,0.358,0.080907,1.0
5.517,0.703,1.059,0.68,0.361,0.158766,0.8648
9.732,0.833,1.135,0.985,0.937,0.003238,0.8323
8.485,0.835,0.891,0.494,0.973,0.281455,1.0
2.114,0.627,1.25,1.131,0.813,0.521201,0.7017
4.3,0.711,1.333,0.787,0.418,0.511795,0.8433
8.827,0.699,1.403,0.573,0.681,0.363886,0.7626
6.121,0.847,1.411,0.745,0.841,0.089254,0.6495
5.076,0.654,1.232,1.238,0.639,0.415745,0.7813
6.612,0.653,1.61,0.586,0.457,0.264157,0.6397
4.087,0.553,1.448,0.913,0.612,0.506304,0.6447
6.57,0.809,0.939,0.983,0.908,0.305313,1.0
7.744,0.662,0.892,0.849,0.576,0.453992,1.0
3.952,0.84,1.758,0.597,0.544,0.468912,0.6435
9.733,0.683,1.121,0.931,0.781,0.143191,0.8109
7.892,0.565,0.849,0.764,0.547,0.165265,0.8916
5.928,0.646,0.992,0.671,0.982,0.215258,0.8114
5.558,0.723,1.783,0.59,0.777,0.374889,0.5466
6.859,0.577,1.477,0.377,0.717,0.387244,0.6431
3.688,0.802,0.83,1.313,0.622,0.113929,1.0
3.07,0.836,0.873,0.539,0.543,0.324754,1.0
6.358,0.588,1.09,0.587,0.449,0.215275,0.8007
7.632,0.615,1.167,0.769,0.984,0.499862,0.8459
8.401,0.622,0.868,0.68,0.487,0.264902,0.9442
8.222,0.807,1.645,0.732,0.781,0.1638,0.6177
2.487,0.76,0.81,0.791,0.531,0.363052,1.0
8.13,0.641,1.612,0.653,0.612,0.380666,0.6657
7.543,0.846,1.025,1.095,0.727,0.479144,1.0
3.251,0.776,1.368,0.63,0.632,0.174765,0.618
6.635,0.817,1.369,1.058,0.663,0.02679,0.679
3.863,0.698,1.11,0.518,0.653,0.169023,0.7417
4.065,0.689,0.933,1.413,0.907,0.370509,0.9527
2.85,0.783,1.608,1.221,0.38,0.337149,0.6665
8.675,0.723,1.446,0.85,0.67,0.018,0.647
7.112,0.574,1.235,0.651,0.682,0.069857,0.6487
7.533,0.789,0.963,0.425,0.402,0.459263,1.0
6.226,0.69,0.907,1.079,0.908,0.433637,1.0
7.008,0.573,0.912,0.359,0.48,0.071032,0.84
4.08,0.666,1.743,1.032,0.884,0.371939,0.489
2.9,0.771,1.075,1.067,0.539,0.52238,1.0
4.108,0.634,1.731,0.33,0.788,0.37978,0.4431
8.691,0.842,1.776,0.378,0.875,0.338407,0.6428
